Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xE90BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
